Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Genotype],Comment [Genotype Gene Identifier 1],Comment [Genotype Gene Identifier 2],Comment [Genotype Gene Symbol 1],Comment [Genotype Gene Symbol 2],Comment [Genotype Allele Identifier 1],Comment [Genotype Allele Identifier 2],Comment [Genotype Allele Symbol 1],Comment [Genotype Allele Symbol 2],Characteristics [Stock],Characteristics [Strain],Characteristics [Developmental Stage],Term Source 2 REF,Term Source 2 Accession,Comment [Developmental Stage - Substage],Assay Name,Experimental Condition [Treatment],Experimental Condition [Targeted Protein 1],Experimental Condition [Targeted Protein 2],Experimental Condition [Targeted Protein 3],Comment [Targeted Protein Gene Identifier 1],Comment [Targeted Protein Gene Identifier 2],Comment [Targeted Protein Gene Identifier 3],Comment [Targeted Protein Gene Symbol 1],Comment [Targeted Protein Gene Symbol 2],Comment [Targeted Protein Gene Symbol 3],Experimental Condition [Targeted Transcript 1],Experimental Condition [Targeted Transcript 2],Experimental Condition [Targeted Transcript 3],Experimental Condition [Targeted Transcript 4],Comment [Targeted Transcript Gene Identifier 1],Comment [Targeted Transcript Gene Identifier 2],Comment [Targeted Transcript Gene Identifier 3],Comment [Targeted Transcript Gene Identifier 4],Comment [Targered Transcript Gene Symbol 1],Comment [Targered Transcript Gene Symbol 2],Comment [Targered Transcript Gene Symbol 3],Comment [Targered Transcript Gene Symbol 4],Source Name,Image File,Comment [Image File Path],Comment [Image File Type],Channels
01 - wild-type - Dichaete antibody stain (1),6c_01_wt_Dprotein555-TL_011_mp.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,6,EFO,EFO_0005859,6,01_6c,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,6c_01_wt_Dprotein555-TL_011_mp.tif,01_wt_Dprotein555-TL/mps/6c_01_wt_Dprotein555-TL_011_mp.tif,"maximum projection of rotated, masked and cropped image stack","DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),5-1a_01_wt_Dprotein555-TL_004_overlay.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Jan,01_5-1a,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-1a_01_wt_Dprotein555-TL_004_overlay.tif,01_wt_Dprotein555-TL/overlays/5-1a_01_wt_Dprotein555-TL_004_overlay.tif,embryo mask overlaid on maximum projection of DAPI channel from raw stack,"DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),5-1b_01_wt_Dprotein555-TL_006_overlay.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Jan,01_5-1b,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-1b_01_wt_Dprotein555-TL_006_overlay.tif,01_wt_Dprotein555-TL/overlays/5-1b_01_wt_Dprotein555-TL_006_overlay.tif,embryo mask overlaid on maximum projection of DAPI channel from raw stack,"DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),5-1c_01_wt_Dprotein555-TL_002_overlay.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Jan,01_5-1c,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-1c_01_wt_Dprotein555-TL_002_overlay.tif,01_wt_Dprotein555-TL/overlays/5-1c_01_wt_Dprotein555-TL_002_overlay.tif,embryo mask overlaid on maximum projection of DAPI channel from raw stack,"DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),5-2a_01_wt_Dprotein555-TL_005_overlay.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Feb,01_5-2a,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-2a_01_wt_Dprotein555-TL_005_overlay.tif,01_wt_Dprotein555-TL/overlays/5-2a_01_wt_Dprotein555-TL_005_overlay.tif,embryo mask overlaid on maximum projection of DAPI channel from raw stack,"DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),5-2b_01_wt_Dprotein555-TL_003_overlay.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Feb,01_5-2b,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-2b_01_wt_Dprotein555-TL_003_overlay.tif,01_wt_Dprotein555-TL/overlays/5-2b_01_wt_Dprotein555-TL_003_overlay.tif,embryo mask overlaid on maximum projection of DAPI channel from raw stack,"DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),5-3a_01_wt_Dprotein555-TL_001_overlay.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Mar,01_5-3a,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-3a_01_wt_Dprotein555-TL_001_overlay.tif,01_wt_Dprotein555-TL/overlays/5-3a_01_wt_Dprotein555-TL_001_overlay.tif,embryo mask overlaid on maximum projection of DAPI channel from raw stack,"DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),5-4a_01_wt_Dprotein555-TL_010_overlay.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Apr,01_5-4a,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-4a_01_wt_Dprotein555-TL_010_overlay.tif,01_wt_Dprotein555-TL/overlays/5-4a_01_wt_Dprotein555-TL_010_overlay.tif,embryo mask overlaid on maximum projection of DAPI channel from raw stack,"DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),5-4b_01_wt_Dprotein555-TL_007_overlay.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Apr,01_5-4b,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-4b_01_wt_Dprotein555-TL_007_overlay.tif,01_wt_Dprotein555-TL/overlays/5-4b_01_wt_Dprotein555-TL_007_overlay.tif,embryo mask overlaid on maximum projection of DAPI channel from raw stack,"DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),6a_01_wt_Dprotein555-TL_008_overlay.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,6,EFO,EFO_0005859,6,01_6a,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,6a_01_wt_Dprotein555-TL_008_overlay.tif,01_wt_Dprotein555-TL/overlays/6a_01_wt_Dprotein555-TL_008_overlay.tif,embryo mask overlaid on maximum projection of DAPI channel from raw stack,"DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),6b_01_wt_Dprotein555-TL_009_overlay.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,6,EFO,EFO_0005859,6,01_6b,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,6b_01_wt_Dprotein555-TL_009_overlay.tif,01_wt_Dprotein555-TL/overlays/6b_01_wt_Dprotein555-TL_009_overlay.tif,embryo mask overlaid on maximum projection of DAPI channel from raw stack,"DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),6c_01_wt_Dprotein555-TL_011_overlay.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,6,EFO,EFO_0005859,6,01_6c,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,6c_01_wt_Dprotein555-TL_011_overlay.tif,01_wt_Dprotein555-TL/overlays/6c_01_wt_Dprotein555-TL_011_overlay.tif,embryo mask overlaid on maximum projection of DAPI channel from raw stack,"DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),5-1a_01_wt_Dprotein555-TL_004_rawmp.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Jan,01_5-1a,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-1a_01_wt_Dprotein555-TL_004_rawmp.tif,01_wt_Dprotein555-TL/raw_mps/5-1a_01_wt_Dprotein555-TL_004_rawmp.tif, maximum projection of raw stack,"DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),5-1b_01_wt_Dprotein555-TL_006_rawmp.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Jan,01_5-1b,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-1b_01_wt_Dprotein555-TL_006_rawmp.tif,01_wt_Dprotein555-TL/raw_mps/5-1b_01_wt_Dprotein555-TL_006_rawmp.tif, maximum projection of raw stack,"DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),5-1c_01_wt_Dprotein555-TL_002_rawmp.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Jan,01_5-1c,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-1c_01_wt_Dprotein555-TL_002_rawmp.tif,01_wt_Dprotein555-TL/raw_mps/5-1c_01_wt_Dprotein555-TL_002_rawmp.tif, maximum projection of raw stack,"DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),5-2a_01_wt_Dprotein555-TL_005_rawmp.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Feb,01_5-2a,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-2a_01_wt_Dprotein555-TL_005_rawmp.tif,01_wt_Dprotein555-TL/raw_mps/5-2a_01_wt_Dprotein555-TL_005_rawmp.tif, maximum projection of raw stack,"DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),5-2b_01_wt_Dprotein555-TL_003_rawmp.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Feb,01_5-2b,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-2b_01_wt_Dprotein555-TL_003_rawmp.tif,01_wt_Dprotein555-TL/raw_mps/5-2b_01_wt_Dprotein555-TL_003_rawmp.tif, maximum projection of raw stack,"DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),5-3a_01_wt_Dprotein555-TL_001_rawmp.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Mar,01_5-3a,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-3a_01_wt_Dprotein555-TL_001_rawmp.tif,01_wt_Dprotein555-TL/raw_mps/5-3a_01_wt_Dprotein555-TL_001_rawmp.tif, maximum projection of raw stack,"DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),5-4a_01_wt_Dprotein555-TL_010_rawmp.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Apr,01_5-4a,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-4a_01_wt_Dprotein555-TL_010_rawmp.tif,01_wt_Dprotein555-TL/raw_mps/5-4a_01_wt_Dprotein555-TL_010_rawmp.tif, maximum projection of raw stack,"DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),5-4b_01_wt_Dprotein555-TL_007_rawmp.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Apr,01_5-4b,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-4b_01_wt_Dprotein555-TL_007_rawmp.tif,01_wt_Dprotein555-TL/raw_mps/5-4b_01_wt_Dprotein555-TL_007_rawmp.tif, maximum projection of raw stack,"DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),6a_01_wt_Dprotein555-TL_008_rawmp.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,6,EFO,EFO_0005859,6,01_6a,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,6a_01_wt_Dprotein555-TL_008_rawmp.tif,01_wt_Dprotein555-TL/raw_mps/6a_01_wt_Dprotein555-TL_008_rawmp.tif, maximum projection of raw stack,"DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),6b_01_wt_Dprotein555-TL_009_rawmp.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,6,EFO,EFO_0005859,6,01_6b,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,6b_01_wt_Dprotein555-TL_009_rawmp.tif,01_wt_Dprotein555-TL/raw_mps/6b_01_wt_Dprotein555-TL_009_rawmp.tif, maximum projection of raw stack,"DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),6c_01_wt_Dprotein555-TL_011_rawmp.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,6,EFO,EFO_0005859,6,01_6c,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,6c_01_wt_Dprotein555-TL_011_rawmp.tif,01_wt_Dprotein555-TL/raw_mps/6c_01_wt_Dprotein555-TL_011_rawmp.tif, maximum projection of raw stack,"DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),5-1a_01_wt_Dprotein555-TL_004_shellavg.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Jan,01_5-1a,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-1a_01_wt_Dprotein555-TL_004_shellavg.tif,01_wt_Dprotein555-TL/shell_avgs/5-1a_01_wt_Dprotein555-TL_004_shellavg.tif,average projection of embryo shell,"DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),5-1b_01_wt_Dprotein555-TL_006_shellavg.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Jan,01_5-1b,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-1b_01_wt_Dprotein555-TL_006_shellavg.tif,01_wt_Dprotein555-TL/shell_avgs/5-1b_01_wt_Dprotein555-TL_006_shellavg.tif,average projection of embryo shell,"DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),5-1c_01_wt_Dprotein555-TL_002_shellavg.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Jan,01_5-1c,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-1c_01_wt_Dprotein555-TL_002_shellavg.tif,01_wt_Dprotein555-TL/shell_avgs/5-1c_01_wt_Dprotein555-TL_002_shellavg.tif,average projection of embryo shell,"DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),5-2a_01_wt_Dprotein555-TL_005_shellavg.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Feb,01_5-2a,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-2a_01_wt_Dprotein555-TL_005_shellavg.tif,01_wt_Dprotein555-TL/shell_avgs/5-2a_01_wt_Dprotein555-TL_005_shellavg.tif,average projection of embryo shell,"DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),5-2b_01_wt_Dprotein555-TL_003_shellavg.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Feb,01_5-2b,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-2b_01_wt_Dprotein555-TL_003_shellavg.tif,01_wt_Dprotein555-TL/shell_avgs/5-2b_01_wt_Dprotein555-TL_003_shellavg.tif,average projection of embryo shell,"DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),5-3a_01_wt_Dprotein555-TL_001_shellavg.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Mar,01_5-3a,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-3a_01_wt_Dprotein555-TL_001_shellavg.tif,01_wt_Dprotein555-TL/shell_avgs/5-3a_01_wt_Dprotein555-TL_001_shellavg.tif,average projection of embryo shell,"DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),5-4a_01_wt_Dprotein555-TL_010_shellavg.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Apr,01_5-4a,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-4a_01_wt_Dprotein555-TL_010_shellavg.tif,01_wt_Dprotein555-TL/shell_avgs/5-4a_01_wt_Dprotein555-TL_010_shellavg.tif,average projection of embryo shell,"DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
01 - wild-type - Dichaete antibody stain (1),5-4b_01_wt_Dprotein555-TL_007_shellavg.tif,Drosophila melanogaster,NCBITaxon,NCBITaxon_7227,wild-type,,,,,,,,,FBsn0000277,Oregon R,5,EFO,EFO_0005859,05-Apr,01_5-4b,antibody stain,Dichaete,,,FBgn0000411,,,D,,,,,,,,,,,,,,,01,5-4b_01_wt_Dprotein555-TL_007_shellavg.tif,01_wt_Dprotein555-TL/shell_avgs/5-4b_01_wt_Dprotein555-TL_007_shellavg.tif,average projection of embryo shell,"DAPI stain, D antibody (Alexa Fluor 555), transmitted light"
